Date,Open,High,Low,Close,chance_price,percent_change,Volume
2022-08-15,37822.94,38162.37,37677.46,37919.92,97,0,6026600
2022-08-12,37338.03,37628.97,37095.57,37628.97,291,0.01,3260400
2022-08-11,37919.92,38113.88,37192.56,37338.03,-582,-0.02,8974200
2022-08-10,37677.46,37871.43,37531.99,37628.97,-48,0,4303300
2022-08-09,38210.87,38453.32,37822.94,37968.41,-242,-0.01,4452400
2022-08-08,37338.03,38453.32,37338.03,38016.9,679,0.02,9415400
2022-08-05,37241.05,37628.97,37144.06,37241.05,0,0,3914900
2022-08-04,37095.57,37677.46,37047.08,37241.05,145,0,6650800
2022-08-03,37144.06,37241.05,36707.65,36998.59,-145,0,9144700
2022-08-02,37241.05,37435.01,36901.61,37144.06,-97,0,4609900
2022-08-01,36707.65,37628.97,36465.19,37435.01,727,0.02,7655400
2022-07-29,36368.21,36756.14,36028.77,36756.14,388,0.01,6120300
2022-07-28,35786.32,36368.21,35689.34,36174.25,388,0.01,5604300
2022-07-27,35301.41,35495.37,35301.41,35495.37,194,0.01,12957100
2022-07-26,35689.34,35931.79,35446.88,35495.37,-194,-0.01,5466700
2022-07-25,35737.83,35980.28,35640.85,35689.34,-48,0,3286300
2022-07-22,36174.25,36756.14,35931.79,35980.28,-194,-0.01,4424700
2022-07-21,35495.37,35786.32,35204.43,35737.83,242,0.01,9358700
2022-07-20,35398.39,35495.37,35107.44,35204.43,-194,-0.01,8094800
2022-07-19,35155.94,35204.43,34671.03,35010.46,-145,0,2566900
2022-07-18,35204.43,35737.83,35010.46,35204.43,0,0,4595600
2022-07-15,35010.46,35446.88,35010.46,35010.46,0,0,4417900
2022-07-14,34816.5,35204.43,34768.01,34864.99,48,0,2902000
2022-07-13,35058.95,35689.34,34913.48,35010.46,-48,0,3176800
2022-07-12,34719.52,35010.46,34574.04,35010.46,291,0.01,8186180
2022-07-11,35931.79,36174.25,34428.57,34525.55,-1406,-0.04,10198300
2022-07-08,36804.63,36853.12,36222.74,36416.7,-388,-0.01,4058400
2022-07-07,36319.72,36853.12,35883.3,36659.15,339,0.01,5627400
2022-07-06,36368.21,37241.05,36077.26,36465.19,97,0,8308300
2022-07-05,35495.37,37095.57,35252.92,36610.66,1115,0.03,11498900
2022-07-04,35155.94,35592.35,34961.97,35252.92,97,0,3169000
2022-07-01,34525.55,35155.94,33798.19,34913.48,388,0.01,4042300
2022-06-30,35446.88,35980.28,34477.06,34477.06,-970,-0.03,3849000
2022-06-29,35107.44,36028.77,35107.44,35640.85,533,0.02,5006000
2022-06-28,34428.57,35834.81,34283.1,35592.35,1164,0.03,11464500
2022-06-27,34477.06,34864.99,34428.57,34477.06,0,0,9324300
2022-06-24,34864.99,35010.46,34428.57,34428.57,-436,-0.01,4069100
2022-06-23,33749.7,35301.41,33507.24,34864.99,1115,0.03,8294300
2022-06-22,32731.39,34234.61,32440.44,33749.7,1018,0.03,6508200
